date,headline,close,volatility_3d,close_t_plus_2
2015-05-27,"Stifel, Morningstar Analysts React To McDonald's Decision To Quit Reporting Monthly Sales [SEP] Here's What Happened When Wal-Mart Stopped Reporting Monthly Retail Sales [SEP] Stifel Associate Analyst On If McDonald's Reported Same Store Sales, ""Could Be An Administrative Nightmare During Company Transitory State"" [SEP] Stifel Associate Analyst On Industry Reporting Same Store Sales [SEP] Stifel Associate Analyst On McDonald's Reporting, ""Decreasing Transparency Not Good, But Street Won't Look Too Far Into It"" [SEP] Stifel Associate Analyst On McDonald's Halting Same Store Sales Reporting [SEP] McDonald's Will Stop Reporting Monthly Same-Store Sales Figures [SEP] McDonald's Spokesperson Confirms Last Reporting of Monthly Sales Will Be Month of June, Will Be Reported with Q2 Earnings Release [SEP] Hearing McDonald's to Stop Reporting Monthly Same-Store Sales Figures, Last Report Will Be for June",98.66000366210938,0.0037692395004105014,95.93000030517578
2015-05-28,"Deutsche Bank Makes McDonald's A Top Pick [SEP] Deutsche Bank Initiates Coverage on McDonald's at Buy, Announces $120.00 PT, Considered 'Top Pick'",96.4800033569336,0.01249627008427311,96.22000122070312
2015-05-29,"Look Out For The Restaurant Industry, Deutsche Bank Says [SEP] Do You Need Hands To Buy A Big Mac? [SEP] FIFA Sponsors Weigh Up The Cost Of Scandal",95.93000030517578,0.012453291553101521,96.29000091552734
2015-06-03,Exclusive: Boston Market CEO Talks 'Chicken Wars' Strategy,96.5199966430664,0.0011832749716251573,95.54000091552734
2015-06-04,What To Expect From Tomorrow's Jobs Report [SEP] Caffeine Beats The Market,96.30999755859376,0.00231011153063846,95.31999969482422
2015-06-08,"McDonald's Ticks Higher Amid Increasing European Sales [SEP] McDonald's Reports APMEA Global Comp. Sales Down 3.2% [SEP] McDonald's Reports U.S. Comp. Sales Up 2.2% May, Europe Up 2.3% [SEP] McDonald's Reports May Global Comps Down 0.3%",95.31999969482422,0.0033408031137266065,95.3000030517578
2015-06-09,"Mid-Day: Red Names In Dow Jones 30 Index - AAPL, DIS, MCD, MSFT, NKE, WMT [SEP] McDonald's Names Robert Gibbs as Chief Communications Officer, Silvia Lagnado as Chief Marketing Officer [SEP] Fast Money Picks For June 9",94.7300033569336,0.0029235167749296215,95.58999633789062
2015-06-10,LA City Council Approves Minimum Wage Hike to $15.00/Hour by 2020 -Reuters,95.3000030517578,0.0062347792389294086,95.05999755859376
2015-06-18,How To Play The Digital Revolution In The Restaurant Business [SEP] RBC: July Will Be 'A Critical Month' For McDonald's [SEP] McDonald's To Shrink In U.S. For First Time In 45 Years (Or Possibly Ever),96.16999816894533,0.003229724058338401,96.87000274658205
2015-06-19,McDonald's Expands All-Day Breakfast Experiment [SEP] Hearing McDonald's Has Launched Expansion of 'Create Your Taste' Concept,96.08000183105467,0.005521850582544922,97.18000030517578
2015-06-22,What To Expect From Sonic This Afternoon,96.87000274658205,0.00583533848467329,96.63999938964844
2015-06-23,Option Alert: McDonald's Jun 26 $98 Call; 5176 contract Trade above Ask @$0.46; Now $97.76,97.18000030517578,0.004569261011428541,95.79000091552734
2015-06-24,Shares of McDonald's Spiking ~$0.40 Higher Following Breakout Away from Consolidation Phase Around $96.80 Level,96.63999938964844,0.006966154016780175,97.29000091552734
2015-06-25,"The Top 10 Global Employers List May Surprise You [SEP] McDonald's Reports Partnership with Alliance for a Healthier Generation [SEP] McDonald's to Sell All 413 Taiwan-based Stores to Franchise Operator, Expand Franchise Business in China -DJ",95.79000091552734,0.006221122863542176,95.44000244140624
2015-06-29,McDonald's: Will It Sink Or Swim?,95.44000244140624,0.017832720992655027,95.76000213623048
